Name of Organisation,Eng. Name,Eng. Address,Tel. No,Fax. No,Type of Service,Age of Child,Full Day Creche Approved Monthly Fee,Full Day Nursery Approved Monthly Fee,Half Day Nursery Approved Monthly Fee,AM Session Nursery Approved Monthly Fee,PM Session Nursery Approved Monthly Fee,Type of Half Day Nursery,Remarks,Full Day Creche Capacity,Full Day Nursery Capacity,Half Day Nursery Capacity,District
ESF Educational Services Limited,ESF International Child Care Centre (Tung Chung),"Portion of 1/F, Commercial Accommodation, The Visionary, 1 Ying Hong Street, Tung Chung, Lantau Island, New Territories",37423500,25170923,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,12490,0,0,AM & PM Sessions,,0,0,9,CW/S/I
Fairchild Canadian Academy Limited,Fairchild Nursery,"All the shop No. 8 on G/F and portion of 1/F, Kong Chian Tower, 185-185B Connaught Road West, 351-351C Des Voeux Road West, 3-7 Whitty Street, Hong Kong",28032638,28030938,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,8800,0,0,AM & PM Sessions,,0,0,24,CW/S/I
Fanling Assembly of God Church Ltd.,Fanling Assembly of God Church Grace Light Child Care Centre,"G/F (Portion), Yin King House, King Shing Court, Fanling, New Territories.",26826933,26826700,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,0,2750,PM Session,,0,0,28,TP/N
The Hong Kong Taoist Association,Hong Kong Taoist Association Fei Ngan Nursery,"Part of Rooftop, Carpark, Hong Yat Court, Lam Tin, Kowloon",23547003,23547001,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,4463,0,3500,0,AM Session,,0,12,12,KT
Mr LAM PO LOY PATRICK,Galilee International Nursery,"Part of G/F & 1/F, Peace Garden, 2 Peace Avenue, Ho Man Tin, Kowloon",23903000,29040300,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,5630,0,0,AM & PM Sessions,,0,0,42,KC/YTM
Carmel School Association Limited,Ganeynu,"Level 3, Jewish Community Centre, One Robinson Place, 70 Robinson Road, Mid-Levels, Hong Kong",22497600,36655399,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,0,0,7670,0,0,AM & PM Sessions,,0,0,37,CW/S/I
Garden House Ltd.,Garden House Waldorf Pre-School,"7 Silverstrand Beach Road, G/F Silverstrand Shopping Centre, Silverstrand, Sai Kung",23581177,23580077,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,8860,8040,AM & PM Sessions,,0,0,70,WTS/SK
Gigamind Education Foundation Limited,Gigamind Children's House (Kingswood Villas),"G/F(Portion), Block B, Maywood Court, Kingswood Villas, Tin Shui Wai, New Territories.",24469210,24469039,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,0,0,3917,0,0,AM & PM Sessions,,0,30,91,YL
Rural Training College Alumni Association Ltd.,Gloria Creative International Nursery,"Portion of Shop Nos. 72, 73, 75, 76, 77 & 79, G/F, Union Plaza, No. 9 Wo Muk Road, Fanling, New Territories",26697339,26697229,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4210,0,0,AM & PM Sessions,,0,0,25,TP/N
Rural Training College Alumni Association Ltd.,Gloria Creative International Nursery (Sheung Shui),"Portion of Unit 23 & 24, G/F, Commercial Complex, Tsui Lai Garden, 9 Fung Nam Road, Sheung Shui, New Territories",26697009,26697229,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4420,0,0,AM & PM Sessions,,0,0,89,TP/N
Good Health Childhood Education Limited,Good Health Child Care Centre (Ma On Shan),"1/F, Saddle Ridge Garden, Saddle Ridge Terrace, Ma On Shan, Shatin",26411717,26404013,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,6213,3948,0,0,AM & PM Sessions,,0,100,100,ST
Good Health Childhood Education Limited,Good Health Child Care Centre (Tsing Yi),"Part of 1/F, Serene Garden Commercial Building, 77 Tsing King Road, Tsing Yi, New Territories",24978055,24979007,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4950,0,0,AM & PM Sessions,,0,0,46,TW/KwT
Good Health Education Limited,Good Health Child Care Centre (Tsing Yi South),"Portion of L1 & L2, Shopping Arcade, Block 11 & 12, Mayfair Gardens , 2-16 Sai Shan Road, Tsing Yi, New Territories",24882318,24882797,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,8250,5450,0,0,AM & PM Sessions,,0,54,100,TW/KwT
Good Time Education Company Limited,Good Time International Play School (Shatin Plaza),"Level 4, Block C & D, Sha Tin Plaza, Sha Tin, New Territories",26013278,26089026,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,0,7616,0,4938,4575,AM & PM Sessions,,0,28,116,ST
LKW Children Education Limited,Grace Garden International Nursery (Lei King Wan),"Shops GA12B-14, G/F, 55 Tai Hong Street, Site A, Lei King Wan, Sai Wan Ho, Hong Kong",27029778,NIL,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,6000,4300,AM & PM Sessions,,0,0,48,E/W
"The Methodist Church, Hong Kong",Grace Methodist Church Day Nursery,"Portion of 2/F, Carpark Building, Tin Wang Court, Wong Tai Sin, Kowloon.",23204188,23204308,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3858,0,0,AM & PM Sessions,,0,0,20,WTS/SK
Gracefield Education Limited,Gracefield Christian Nursery School,"Part of G/F, Cheong Sin House, Upper Wong Tai Sin Estate, Kowloon",22164106,22164107,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3500,0,0,AM & PM Sessions,,0,0,18,WTS/SK
"MAN, Kam Wah",Greenfield International Nursery,"2/F, Podium, Ma On Shan Centre, Ma On Shan, New Territories.",26330327,26404474,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,7800,5400,0,0,AM & PM Sessions,,0,10,70,ST
"MAN, Kam Wah",Greenfield International Nursery (Nan Fung Plaza),"Portion of Kindergarten Space, Level One, Nan Fung Plaza, 8 Pui Shing Road, Tseung Kwan O, Kowloon.",22742238,22742881,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,8250,6180,0,0,AM & PM Sessions,,0,3,60,WTS/SK
"MAN, Kam Wah",Greenfield International Nursery (The Long Beach),"Portion of Unit 1, Kindergarten Area, UG/F, 8 Hoi Fai Road, The Long Beach, West Kowloon, Kowloon",35148081,35148128,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,7300,0,0,AM & PM Sessions,,0,0,98,KC/YTM
"MAN, Kam Wah",Greenfield International Nursery (The Long Beach II),"Portion of Unit 3-6 & Portion of Corridor, Upper Ground Floor, No. 8 Hoi Fai Road, The Long Beach, West Kowloon, Kowloon",35148081,35148128,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,11638,7300,0,0,AM & PM Sessions,,0,24,60,KC/YTM
Ms Man Kam Wah,Greenfield International Nursery (Mont Vert),"Portion of The Kindergarten, Mont Vert, No. 9 Fung Yuen Road, Tai Po, New Territories",39070178,31689181,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6000,0,0,AM & PM Sessions,,0,0,24,TP/N
"MAN, Kam Wah",Greenfield International Nursery (Lohas Park),"Portion of Kindergarten Site, Hemera, Lohas Park III, Tseung Kwan O, New Territories",22464801,22464994,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,5820,0,0,AM & PM Sessions,,0,0,92,WTS/SK
"MAN, Kam Wah",Greenfield International Nursery (Tung Chung),"Kindergarten Podium First Floor (Portion), Caribbean Bazaar, Caribbean Coast, 1 Kin Tung Road, Tung Chung, Lantau Island, Hong Kong.",21625538,21625528,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,10278,6335,0,0,AM & PM Sessions,,0,2,38,CW/S/I
"MAN, Kam Wah",Greenville Kids' World International Nursrey,"Portion of Shop No. 108, Level One, La Cite Noble Shopping Arcade, No. 1 Ngan O Road, Tseung Kwan O, Kowloon.",22743355,22743611,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,6670,5300,0,0,AM & PM Sessions,,0,19,80,WTS/SK
Guidepost Chai Wan Limited,Guidepost Montessori International Child Care Centre (Chai Wan),"Part of Shop Kindergarten, G/F, Harmony Garden, 9 Siu Sai Wan Road, Chai Wan, Hong Kong",28668260,34681913,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,8200,0,0,AM & PM Sessions,,0,0,56,E/W
Guidepost Kennedy Town Limited,Guidepost Montessori International Child Care Centre (Kennedy Town),"Portion of Shop C on G/F, 1/F & 2/F, Pak Hoo Mansion, 554-560 Queen's Road West, Sai Wan, Hong Kong (Portion)",36191136,34681913,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,9000,7600,AM & PM Sessions,,0,0,56,CW/S/I
CONCEPT POWER LIMITED,HARTS PLAYSCHOOL,"G/F and whole 1/F, High Park Grand, 68 Boundary Street, Kowloon",23382878,23376322,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,7560,0,0,AM & PM Sessions,,0,0,65,KC/YTM
Hazelwood International Education Limited,Pui Kiu International Nursery,"Portion of Level 1, Phase 2, Belair Gardens, Shopping Arcade, 52 Tai Chung Kiu Road, Shatin, New Territories",35909990,36166000,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,5900,0,0,AM & PM Sessions,,0,0,60,ST
"BENNETT, Kit Ling Cannie",Highgate House Nursery School,"Portion of Shop No.6, 2/F, Block B, Dairy Farm Shopping Centre, 100-104 Peak Road, Hong Kong",28496336,28496332,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,14000,0,0,AM & PM Sessions,,0,0,50,CW/S/I
Sik Sik Yuen,Ho Tak Child Care Centre (Sponsored by Sik Sik Yuen),"G/F (Portion), Chung Yuen House, Chuk Yuen North Estate, Wong Tai Sin, Kowloon.",23500721,23227478,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,4430,2100,0,0,AM & PM Sessions,,0,12,12,WTS/SK
Sheng Kung Hui Holy Trinity Church,Holy Trinity Centre Day Nursery,"G/F, Rooms 101-104 of 1/F, and Room 202-203 of 2/F, Holy Trinity Bradbury Centre, 139 Ma Tau Chung Road, Kowloon City, Kowloon",27154265,27157431,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,6949,0,0,0,NIL,,0,156,0,KC/YTM
The Church of Christ in China Tuen Mun Church Ltd.,"Hoh Fuk Tong Nursery School, Tuen Mun Church, The Church of Christ in China, Hong Kong Council","Unit 111-118, Tip Mo House, Butterfly Estate, Tuen Mun, N.T. (portion)",24675078,24656499,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,0,3100,PM Session,,0,0,56,TM
Heung Hoi Ching Lok Lin Association,HHCKLA Buddhist Wai Kwong Ka Fuk Nursery School,"Part of Shop KG01, G/F, Ka Yeung House, Ka Shing Court, Fanling, New Territories",26832227,26832023,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3310,0,0,AM & PM Sessions,,0,0,90,TP/N
"CHIU TSANG, Hok Wan",HONG KONG (ASCOT) PLAYSCHOOL,"No. 1, G/F, Tsun King Road, Royal Ascot, Fo Tan, Shatin, New Territories",23332939,26349831,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6320,0,0,AM & PM Sessions,,0,0,63,ST
5-S Quality Education Institution Limited,Hong Kong 5-S International Child Care Centre,"No. 8-10, Level 2, Shopping Centre, Belair Monte, 3 Ma Sik Road, Fanling, New Territories",27210081,27210086,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5897,2673,0,0,AM & PM Sessions,,0,89,60,TP/N
Hong Kong Bethel Church Limited,Hong Kong Bethel Church Gideon Nursery,"Part of G/F, Lok Tung House, Lok Fu Estate, Kowloon.",23362553,23362567,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,4260,2170,0,0,AM & PM Sessions,,0,14,5,WTS/SK
The Council of Ling Liang World-wide Evangelistic Mission Hong Kong Ling Liang Church,Hong Kong Ling Liang Church Sau Tak Nursery,"Shop 6-8, 1/F, West Kowloon Place, One West Kowloon, 873 Lai Chi Kok Road, Kowloon",35202238,35202237,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4463,0,0,AM & PM Sessions,,0,0,138,SSP
"NG, Lai Keung",Hong Kong Man Sang International Nursery,"2/F (Portion), Foo Yet Kai Building, 52-60 Java Road, North Point, Hong Kong",25786763,25715254,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,8875,5200,0,0,AM & PM Sessions,,0,40,50,E/W
World Eagle International Limited,Hong Kong Man Sang International Nursery (Western District),"Portion of Shop A, G/F & Portion of 1/F, Nice Garden, 513-519 Queen's Road West, Hong Kong",23363232,23363526,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,8785,5684,0,0,AM & PM Sessions,,0,28,34,CW/S/I
Nobel Education Organisation Limited,Hong Kong Nobel Playschool,"Shop B2 on G/F, 1/F (Portion), Nin Fung Building, 65-65D Waterloo Road, Kowloon",23387899,23387922,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6580,0,0,AM & PM Sessions,,0,0,84,KC/YTM
The Hong Kong Taoist Association,Hong Kong Taoist Association Yuen Yuen Child Care Centre,"Unit No. 33-40 & 41-54, G/F (Portion), Shek To House, Shek Wai Kok Estate, Tsuen Wan, New Territories",24166086,27020789,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3200,0,0,AM & PM Sessions,,0,0,57,TW/KwT
The Hong Kong Taoist Association,Hong Kong Taoist Association Yuen Yuen Child Care Centre (Fu Shin Estate),"Wing A and B, G/F, Shin Mei House, Fu Shin Estate, Tai Po, New Territories (Portion)",26614583,26613118,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,2565,0,0,AM & PM Sessions,,0,0,24,TP/N
The Hong Kong Taoist Association,Hong Kong Taoist Association Yuen Yuen Child Care Centre (Tung Tau Estate),"No. 9-14, G/F, Yan Tung House, Tung Tau Estate, Kowloon (Portion)",27183637,23837607,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,2698,0,0,AM & PM Sessions,,0,0,43,WTS/SK
Lam Tin Estate Kai Fong Welfare Association Limited,Hong Ying Child Care Centre,"G/F (Portion), Hong Ying Court, Tak Tin Estate, Lam Tin, Kowloon.",27723243,27751476,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,2476,0,0,AM & PM Sessions,,0,0,24,KT
Hop Yat Church of the Church of Christ in China,Hop Yat Church Chan Pak Wang Memorial Day Nursery,"Portion of 1/F & 2/F, Landing Floor between 3-4/F, 48 Cloud View Road, North Point, Hong Kong",25785759,25715887,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5236,2970,0,0,AM & PM Sessions,,0,28,70,E/W
Hop Yat Church of the Church of Christ in China,Hop Yat Church Shin Ka Chuen Memorial Day Nursery,"1/F, 26 On Shing Street, Ma On Shan, Shatin, New Territories",26441584,29794952,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,2765,0,0,AM & PM Sessions,,0,70,58,ST
Ms LAU Lai-ming Kelly,Island Children's Montessori Child Care Centre,"Unit C, Lower G/F & Unit B, Upper G/F, Dragon View Garden, No. 16 Tin Hau Temple Road, Hong Kong",34279100,34279101,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6150,0,0,AM & PM Sessions,,0,0,24,E/W
Ms LAU Lai Ming Kelly,Island Montessori International Nursery,"Commercial Unit or Portion on G/F, Bedford Garden, Nos. 151-173 Tin Hau Temple Road, Hong Kong",34279100,34279101,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,6560,0,AM Session,,0,0,40,E/W
Sapientia Foundation,Italian International Nursery,"Portion of Podium Level 1, Block 4, Phase 1, South Horizons, Ap Lei Chau, Hong Kong",26623066,26623666,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,11233,6830,0,0,AM & PM Sessions,,0,12,56,CW/S/I
Sunway Association Limited,James Day Nursery (Shun Ning Road),"Portion of G/F, Block 7, Cronin Garden, 16 Shun Ning Road, Sham Shui Po, Kowloon",23868877,23870789,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5762,0,3661,0,AM Session,,0,20,27,SSP
DONALD So Han,Jing Jing International Nursery,"Shop Nos 47-54, G/F, Chi Lok Fa Yuen, 18 Tsing Hoi Circuit, Tuen Mun, New Territories",24045266,24045267,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,10531,7179,0,0,AM & PM Sessions,,0,4,18,TM
JING JING EDUCATION INSTITUTE LIMITED,Jing Jing Nursery (Shun Lee Branch),"Portion of Shop No. 15A, Commercial Premises, Podium Level 2 of Shun Lee Disciplined Services Quarter, 32 Lee On Road, Kowloon",34094481,34094491,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3848,0,0,AM & PM Sessions,,0,0,20,KT
Jing Jing Education Institute Limited,Jing Jing International Preschool (Common Bond Branch),"Upper G/F, Shop 14-20, 23, Common Bond Shopping Arcade, 7 Tsing Chui Path, Tuen Mun, N.T.",24574666,24571572,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,7115,3647,0,0,AM & PM Sessions,,0,14,42,TM
"MA, Sum-yee Shirley",Joyful World International Nursery,"G/F, Block 11-12 Tsuen King Garden, 76-84 Tsuen King Circuit, Tsuen Wan, N.T.",24928555,24928566,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,5980,0,0,AM & PM Sessions,,0,0,90,TW/KwT
Ms Ma Sum Yee Shirley,Joyful World International Nursery (Belvedere),"Shop 101-118, 1/F & Portion on G/F, Belvedere Square, Belvedere Garden Phase 2, 620 Castle Peak Road Tsuen Wan, Tsuen Wan, N.T.",28060199,28060192,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6280,0,0,AM & PM Sessions,,0,0,126,TW/KwT
"Ms Ma Sum Yee, Shirley",Joyful World International Nursery (Sha Tin),"Shop 701, 7/F, Jubilee Square, 2-18 Lok King Street, Fo Tan, Shatin, New Territories",24939009,24939011,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6380,0,0,AM & PM Sessions,,0,0,112,ST
"Ma, Sum Yee Shirley",Joyful World International Nursery (Tuen Mun),"Portion of Shop 2-3 on 2nd Floor of Commercial Complex, Tai Hing Gardens Phase II, 10A Ho Hing Circuit, Tuen Mun, New Territories",24928772,24928773,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6680,0,0,AM & PM Sessions,,0,0,56,TM
"MA, Sum Yee Shirley",Joyful World International Nursery (Yuen Long),"1/F, Lin Fat Building, 2 Fung Kwan Street, Yuen Long, New Territories",24939997,24939987,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,6180,0,0,AM & PM Sessions,,0,0,56,YL
Fine Ascent Corporation Limited,Joystem International Nursery,"Portion of Kindergarten, Level 3, Package 7, LOHAS Park, 1 LOHAS Park Road, Tseung Kwan O, New Territories",26311299,26311850,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,7600,0,0,AM & PM Sessions,,0,0,28,WTS/SK
Kingsland Kindergarten (Fu Ning Garden School) Limited,Junk Bay Kingsland Nursery,"Portion of G/F, Kwan Ming House, Yuk Ming Court, Tseung Kwan O, Sai Kung, New Territories",27052211,27052275,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5175,3668,0,0,AM & PM Sessions,,0,7,46,WTS/SK
Karlam Professional Education Limited,Karlam Nursery (Yue Fung Mansion),"1/F, 59 On Ning Road, Yuen Long, New Territories",24425966,24433217,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,5732,3031,0,0,AM & PM Sessions,,0,124,62,YL
"CHAN YEN, Dai Li, Helena",Keen Mind Nursery,"G/F (Portion), 13 Cumberland Road, Kowloon Tong, Kowloon.",23380832,23380079,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,5719,0,0,AM & PM Sessions,,0,0,76,KC/YTM
CHAN Wilbert,Kendall Nursery School,"Part of G/F, Residence 228, 228 Fuk Wing Street, Cheung Sha Wan, Kowloon",23288223,23288710,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,0,6200,5800,AM & PM Sessions,,0,0,18,SSP
CHANG Albert Ho-yin,Kiangsu & Chekiang Nursery,"G/F, 30 Ching Wah Street, North Point, Hong Kong",25704173,25129095,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,4830,0,0,AM & PM Sessions,,0,0,97,E/W
Concord Fair Enterprises Limited,Kornhill Victoria Nursery,"Portion of 2/F, 18 Hong On Street, Kornhill, Quarry Bay, Hong Kong",28851888,25609353,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,0-3,0,0,9890,0,0,AM & PM Sessions,,0,0,39,E/W
Kowloon City Baptist Church,Kowloon City Baptist Church Hay Nien Child Care Centre,"Portion of G/F, Banyan House, Kwong Yuen Estate, Shatin, New Territories",26487073,26483696,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,3325,0,0,AM & PM Sessions,,0,0,22,ST
Debra Yuk-man PEI,Kowloon Funful Children's Corner,"20 Durham Road, Flat 1 & 2, 1/F & 2/F, Kowloon Tong, Kowloon",23370686,23386125,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,9421,6875,0,0,AM & PM Sessions,,0,100,376,KC/YTM
Kowloon Ling Liang Church,Kowloon Ling Liang Church Day Nursery,"4th & 5th floor, Kowloon Ling Liang Church, 1 Grampian Road, Kowloon City, Kowloon",23372575,23382859,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,7040,0,0,0,NIL,,0,242,0,KC/YTM
The Council of Ling Liang World-wide Evangelistic Mission Hong Kong Ling Liang Church,Lam Tin Ling Liang Nursery,"Part of G/F, Site A, No. 12 Laguna Street, Laguna City, Kwun Tong, Kowloon",28056699,27720868,NON-AIDED CHILD CARE CENTRE ATTACHED TO KINDERGARTEN,2-3,0,0,5420,0,0,AM & PM Sessions,,0,0,101,KT
